GeneID,GO_ID
11352,GO:0046872
11352,GO:0048008
11352,GO:0048813
11352,GO:0050885
11352,GO:0051017
11352,GO:0051649
11352,GO:0060020
11352,GO:0060074
11352,GO:0060563
11352,GO:0070374
11352,GO:0071300
11352,GO:0072359
11352,GO:0097062
11352,GO:0098609
11352,GO:0098794
11352,GO:0098978
11352,GO:0120031
11352,GO:1902532
11352,GO:1903053
11352,GO:1903905
11352,GO:1904157
11352,GO:2000096
11352,GO:2000352
11352,GO:2000406
11354,GO:0005496
11354,GO:0005576
11354,GO:0005737
11354,GO:0008150
11363,GO:0001659
11363,GO:0003995
11363,GO:0004466
11363,GO:0005737
11363,GO:0005739
11363,GO:0005759
11363,GO:0006629
11363,GO:0006631
11363,GO:0009062
11363,GO:0009409
11363,GO:0016042
11363,GO:0016491
11363,GO:0016627
11363,GO:0019254
11363,GO:0031966
11363,GO:0033539
11363,GO:0042413
11363,GO:0042758
11363,GO:0042803
11363,GO:0045717
11363,GO:0046322
11363,GO:0050660
11363,GO:0090181
11363,GO:0120162
11364,GO:0001889
11364,GO:0003995
11364,GO:0005737
11364,GO:0005739
11364,GO:0005759
11364,GO:0005978
11364,GO:0006082
11364,GO:0006111
11364,GO:0006629
11364,GO:0006631
11364,GO:0006635
11364,GO:0007507
11364,GO:0009409
11364,GO:0009437
11364,GO:0009791
11364,GO:0016491
11364,GO:0016627
11364,GO:0016853
11364,GO:0019254
11364,GO:0030424
11364,GO:0031667
11364,GO:0031966
11364,GO:0033539
11364,GO:0042594
11364,GO:0042802
11364,GO:0042803
11364,GO:0045329
11364,GO:0050660
11364,GO:0051791
11364,GO:0051793
11364,GO:0055007
11364,GO:0070991
11370,GO:0000062
11370,GO:0001659
11370,GO:0003995
11370,GO:0004466
11370,GO:0005654
11370,GO:0005730
11370,GO:0005739
11370,GO:0005743
11370,GO:0006629
11370,GO:0006631
11370,GO:0006635
11370,GO:0009062
11370,GO:0009409
11370,GO:0016020
11370,GO:0016491
11370,GO:0016627
11370,GO:0017099
11370,GO:0030855
11370,GO:0031966
11370,GO:0033539
11370,GO:0042645
11370,GO:0042802
11370,GO:0045717
11370,GO:0046322
11370,GO:0050660
11370,GO:0090181
11409,GO:0003995
11409,GO:0005739
11409,GO:0005759
11409,GO:0006629
11409,GO:0006631
11409,GO:0016491
11409,GO:0016627
11409,GO:0016937
11409,GO:0031966
11409,GO:0033539
11409,GO:0042803
11409,GO:0046359
11409,GO:0050660
11409,GO:0071949
11416,GO:0005783
11416,GO:0005789
11416,GO:0008521
11416,GO:0016020
